#{"t_start": 1742451683.246128, "env_id": "None"}
r,l,t
61.767671,70,2613.756143
63.283524,72,2614.300386
68.4951149.086344,105,2615260.616603,200,2634.942424
226.313336,162,2652.283177
131.047891,103,2669.880371
51.426445,67,2684.811881
258.98153,173,2685.974825
152.466669,122,2702.334335
262.934053,185,2716.909958
225.126975,165,2734.364102
149.698113,115,2750.746362
152.871258,124,2751.466156
68.196761,72,2770.703527
153.763009,122,2787.73641
227.076787,169,2804.101898
153.14101,121,2820.247652
62.821448,73,2820.782484
161.027208,132,2821.63545
395.820968,365,2840.220504
297.685206,264,2857.214026
385.17336,276,2874.987178
222.720617,188,2889.713023
62.61772,73,2905.491628
349.310626,208,2907.0417
213.831799,169,2908.427631
109.597547,97,2924.04231
61.019495,67,2924.523522
245.885611,249,29276.912433,72.469491,76,295214.448122275.120224,183,2974.947583
124.797635,138,2992.083453
64.000074,69,2992.601113
62.270766,67,29124.993331,226.317082,199,2994.082961
149.35477,114,3010.563378
62.136715,67,302152.618227227.587609,178,303294.775612,170,3048.724657
129.830142,112,3066.288785
63.328262,72,3080.521804
301.016814,240,3082.210855
59.042739,66,3082.775364
55.62257.857227,456,3083.1329.987143,193,3100.802547
197.64409,217,3116.424902
229.540311,180,3132.366967
61.070767,67,3132.852365
116.037623,96,3133.345759
55.229564,65,3133.742268
266.081296,250,3135.265571
104.905362,92,3135.799376
131.366372,103,3150.580244
99.001864,102,3166.632011
81161.022596,939,3172.077133
115.341962,95,3186.587041
115.342604,95,3187.160159
226.06761,163,3201.855965
60.743714,66,3202.315094
169.289262,126,3217.909019
121.219183,103,3218.679806
57.774537,65,3232.841112
55.994937,69,3247.867245
197.386319,223,3265.863465
143.824992,110,3284.346965
62.312117,73,3302.354098
134.573241,115,3319.381445
63.562039,68,3335.833023
226.505097,185,3353.652369
173.102349,181,3371.159272
183.832592,137,3390.925844
276.851348,165,3392.121914
81.48702,106,3392.869769
186.515812,239,3409.683903
134.067403,107,3426.430995
133.433917,99,3442.77602
68.611071,75,3459.358157
56.120948,64,3476.297973
262.328765,226,3493.871878
59.290223,73,3512.95659
52.406491,66,3513.310645
69.527,80,3527.398558
206.542307,136,3528.289439
153.954017,120,3545.761363
69.840151,80,3546.146944
108.330573,99,3561.497444
68.68258,79,3562.05136
130.777142,105,3578.698732
324.225899,328,3595.528532
60.621943,71,3608.297446
146.473497,115,3623.430225
61.534581,77,3640.855929
58.336745,65,3657.744162
317.410361,252,3659.68929
61.850707,67,3674.246048
56.704721,73,3688.605935
68.737914,79,3689.183916
115.415727,100,3689.879811
57.717312,64,3690.371749
200.238672,133,3691.263769
146.615324,128,3708.782089
128.528484,104,3723.23372
58.379431,65,373327.573537,315,3740.495561
9.176718
60.041688,69,3739.680681
60.825133,67,3740.219871
495
53.94374,66,3689.169488
280.238348,199,3690.650514
59.968414,69,3691.115159
128.932752,99,3708.624226
239.754084,158,3723.612077
329.613059,391,3741.079074
772143
164.614812,116,3708.886937
130.345329,98,3723.407957
277.038577,165,3739.307458
238.755725,205,3741.011961
6952,66,3595.454436
240.389655,166,3608.906077
283.138645,165,3623.8359
59.728498,67,3640.798774
60.634197,67,3657.858548
186.682721,168,3659.082996
67.810126,77,3659.698861
55.892305,63,3674.263257
69.137316,80,3688.789816
130.436436,98,3689.409342
200.463443,137,3690.396844
144.652123,126,3708.806607
60.108714,69,3723.106743
60.789506,67,3723.453214
269.3539,260,3739.922001

70.902983,80,1569.599627
260.238023,369,1574.5436347.344.763432,471,1580.4441420.186.129769,141,1585.9071285.438.503428,566,1593.39081
199.503268,143,1604.979749
139.28633,137,1606.826922
41.370505,94,1607.756752
302.461161,364,1613.238164
109.87089,111,1622.523092
69.070931,76,1623.368132
126.758167,108,1625347.0674334.453641,184,1628.143304
177.284086,147,1632.453992
148.844657,119,1635.62654
3282.854992,224,1639.082523
268.056468,307,1642.810139
277.023501,330,1647.2984453.191.592345,145,1655.64563
110.424088,89,1656.820651
58.989826,101,1658.891444
142.945811,221,1661.31159318318.743782,514,1667.403115
406.128446,226,1673.606306
271.861915,355,1676.93147
437.578297,547,1683.188517
164.998906,142,1688.063406
57.537525,70,1689.393901
268.025661,290,1694.253522
213.553375,330,1698.747394
102.00577,96,1705.489905
136.502554,113,1707.212883
296.08232,244,1710.847289
427.656378,520,1716.935795
69.859198,81,1722.024339
183.716469,154,1723.719539
67.874188,74,1724.749266.5371.034849,533,1732.370326
359.93575,399,1737.747366
66.085161,74,1742.188356
324.362453,412,1748.41115
396.292204,450,1753.071115
202.683875,272,1757.156671
67.865773,74,1760.471758
54.197839,64,1761.49351425449.835741,519,1768.105248
403.490902,481,1774.058434
220.42823,149,1779.570071
60.808616,70,1780.778615
354.005492,402,1785.595163
5563.396581,670,1793.875939
2128.906148,121,1798.2096
376.399882,238,1801.418825
318.102745,497,1808.32793
77.796504,132,1810.406168
55.568991,108,1812.52105975285.53063,276,1822.176953
310.846011,332,1826.9001547169.172517,226,1829.43919349278.078498,204,1839.250742
220.576929,363,1843.31099
292.480954,329,1848.404941
315.453864,202,1856.748394
473.635491,521,1862.849171
67.610708,75,1869.663551
398.564577,512,1876.067134
338.844944,490,1881.908877
337.150244,1138,1899.188874
67.895916,78,1904.593287
226.583345,143,1907.092492
338.335944,411,1912.663287
408.078682,573,1919.231845
68.339171,77,1921.440703
214.038224,158,1923.059125
69.490485,82,1924.30731
78.450375,81,1925.615503
409.714804,504,1931.7346
258.357436,328,1936.57145
289.171172,174,1941.466157
53.681425,69,1942.390846
78.690565,142,1943.966789
307.859269,370,1948.775606
374.059277,457,1953.712138
78.739388,83,1956.124153
154.11334.500782,309,1958.94159.7869.5963,78,1960.03316247270.307576,228,1963.20725305.138969,438,1968.134061
112307.270384,354,1971.2687278.237.205232,202,1978.705068
64.536101,72,1979.661290.8264.154016,316,1983.48324.664925,486,1987.757258
3192.6427.401345,495,1990.878.7762260.503046,177,1996300.4913,1101,2008.446549
287.295637,230,2012.33085
60.232975,67,2013.376078
295.74804,249,2016.587977
311.634551,450,2021.914139
65.661973,120,2023.190775
164.238832,118,2032.068209
55.903079,65,2032.712276
78.01301,85,2033.688342
82.6357.994689,608,2041.288843
279.524954,391,2045.1527
115.056386,106,2050.686296
62432.164741,709,2057.924742
287.154434,351,2061.601282
376.027842,534,2068.139886
276.71571,240,2077.005826
57.069153,110,2077.992084
54.563064,100,2079.179754
204.331584,247,2081.744311
447.439811,528,2087.618366
60.744664,70,2090.86388
216.942521,164,2094.035327
248.997686,294,2097.064626
69.549909,74,2107.805342
186.242247,132,2109.3939936177.49415,81,2110.532923
57.178206,64,2111.90385
284.836442,330,2115.845176
3471.778523,634,2123.01450260378.634772,334,2128.50946286.76839,424,2133.050202
447.113132,600,2139.244319
247.266251,152,2144.985762
301.084808,408,2150.126045
77.871127,81,2160.410292
174.271488,153,2162.705076
392.606787,442,2168.367421
280.740449,302,2181.768447
142.892408,192,2183.316014
332.326253,426,2188.220045
123.898935,115,2194.974582
175.190532,131,2196.497323
303.206232,468,2201.699388
387.362048,468,2207.108953
58.597195,64,2209.472684
216.20841,147,2211.369495
68294.656751,190,2212.345579.5199.737514,15182.171555,415,374.211403,26217.20962261.7568.382261,77,248.72993409.664128,466,2224316.0905385.485712,555,2230.69.41313232289.659312,367,2235.8703189.373.378545,536,2242.507699
55.88407,68,2250.858638
755.212744,67,2251242.73911568.627417,718,2259.716659
77.866577,81,2265.4503.982155,452,2270.514932
62.648117,71,2273.809068
455.580132,603,2280.891314
78.466536,84,2288.156115
269.794896,156,2289.802561
298.069805,353,2293.799213
217.2227.127385,516,2298.486394
110.126803,96,2300.626663
273.082084,218,2303.240661
222.81796,173,2305.812508
498.396099,664,2313.118553
363.607842,204,2320.560907
341.538926,384,2325.054372
261.696592,344,2328.387588
257.248646,298,2340.01483
340.261397,501,2345.372638
105.796424,95,2353.897857
391.310361,353,2357.562649
424.764236,515,2363.141424
60.474961,67,2367.580556
282.545244,234,2370.661002
503.209845,555,2377.035688
77.852503,83,2386.609745
74.520117,81,2387.635668
478.841599,554,2394.713148
373.596238,394,2398.703149
131.514194,406,2410.502271
428.93,543,2416.146458
336.751228,412,2421.313729
68.256694,79,2424.09293
57.176317,63,2424.950411
408.797986,256,2428.455443
235.610822,250,2433.829827
56.693248,64,2434.83368
376.196402,330,2440.328565
83.92906,124,2441.581444
421.464712,540,2448.015861
198.965259,159,2454.485768
67.840726,77,2457.544853
464.655812,461,2462.836459
314.346273,383,2467.091598
363.20601,240,2477.151399
54.413559,68,2478.273859
329.771885,407,2483.711968
237.637371,158,2495.741634
291.323837,442,2501.810862
319.913842,385,2507.895136
367.112848,248,2515.82799
490.125968,448,2521.111123
82.379186,123,2523.349382
142.031977,106,2531.131485
69.519932,80,2532.055675
72.445653,76,2532.887705
280.174587,309,2536.839163
381.748182,349,2541.993052
75.837422,91,2547.463785
240.313526,478,2553.861586
428.014429,566,2559.947461
136.575789,99,2565.131154
143.321413,123,2566.642277
362.969205,199,2569.116644
517.787479,661,2577.487616
-158.311457,1893,2605.101043
430.308911,526,2611.173112
216.114275,255,2614.775676
68.378034,76,2620.377461
80.43238,84,2621.552014
77.772062,82,2622.363666
145.339674,113,2624.232275
77.981661,80,2625.235217
363.372458,489,2631.17537
262.633525,325,2635.80021
211.551598,192,2641.00813
77.940439,83,2642.26533
344.992239,405,2647.23992
512.91894,557,2654.704061
126.04324,97,2658.087994
60.549732,66,2658.897975
217.011638,155,2660.813277
443.18404,473,2666.38949
232.987251,232,2668.988317
77.925307,81,2676.104785
426.433093,419,2681.25159
399.316154,545,2687.574144
147.033296,106,2691.4246
72.340601,77,2692.229695
134.13533,141,2694.018868
456.642456,542,2700.591427
183.753942,184,2703.716751
56.515331,64,2707.383594
218.700492,184,2709.479267
489.595452,542,2715.215411
264.431864,301,2719.016283
402.670068,361,2724.498459
289.67521,276,2727.777654
320.778893,470,2733.846459
197.433192,137,2739.755265
379.837288,314,2743.706682
243.710888,266,2747.503278
254.956111,268,2750.425427
109.911981,169,2753.280264
60.258775,69,2757.029463
58.859833,68,2757.955054
200.876799,145,2760.197463
78.075455,82,2761.191678
77.89486,86,2762.498728
270.72315,334,2765.491287
427.963694,473,2771.452718
404.630985,395,2779.575756
263.435279,275,2782.215055
268.739229,412,2787.181319
77.919149,78,2793.121629
350.3502,218,2795.68988
205.211858,231,2797.788609
348.002581,425,2803.67111
155.675877,220,2806.729671
303.736944,245,2811.277354
383.838838,650,2819.037725
583.213765,308,2830.595246
410.436221,405,2834.989974
342.769689,453,2839.754323
77.623098,83,2845.090931
379.401831,569,2851.470927
357.683009,432,2856.498944
67.804511,81,2862.960401
210.879936,139,2864.568528
328.082446,260,2867.342211
431.651451,522,2873.40082
339.193696,236,2882.007944
81.487359,130,2883.404177
364.886967,403,2888.619662
147.499791,191,2890.400246
67.850877,78,2895.127968
226.122576,200,2898.358385
496.936416,582,2905.338285
278.707508,166,2914.248115
246.25576,306,2918.829175
286.420742,334,2921.895811
284.173258,176,2930.240602
272.94026,233,2934.52984
220.619157,265,2937.191195
305.959943,216,2949.693895
256.519133,287,2953.829314
421.584094,520,2959.808414
108.729878,107,2963.819131
57.070871,65,2964.961042
114.822551,98,2966.396285
306.531397,358,2971.018823
342.746815,499,2976.664119
508.454413,335,2983.3398
83.146173,122,2984.825651
375.264905,421,2990.336819
343.618649,238,3000.878989
94.379478,109,3002.486482
287.350534,317,3006.517189
379.272367,451,3012.237329
360.79487,233,3017.810754
59.747897,69,3018.962592
69.125263,76,3020.037503
327.424643,353,3024.67057
363.781588,431,3029.613572
280.258663,208,3038.640696
406.331674,283,3042.238295
164.968021,219,3045.284338
358.910904,370,3049.257862
67.938569,78,3053.8017
57.229771,67,3055.058169
216.701349,147,3056.812073
184.404114,161,3058.531693
244.530699,290,3062.224897
501.230021,570,3069.090378
283.350161,223,3072.521172
318.065402,352,3076.790758
77.243518,84,3088.492874
55.789653,69,3089.1329
58.514171,66,3089.861043
57.152264,68,3090.765341
67.071925,73,3091.514526
130.866038,141,3093.589698
434.940734,539,3099.296558
69.820849,79,3105.15074
459.871177,411,3109.484325
408.973863,428,3114.556775
61.921328,68,3121.272456
58.596397,71,3122.40602
111.600208,120,3123.752783
391.851577,428,3129.040182
225.943595,256,3131.075842
234.781372,247,3134.150805
78.729781,87,3140.55921
59.178487,71,3141.350532
207.012265,198,3143.432733
330.353143,421,3148.434757
330.900767,346,3152.634519
72.112208,83,3156.116911
85.23903,102,3157.228481
161.528524,142,3158.871207
200.08052,261,3161.318529
328.331076,386,3166.285589
69.796979,84,3176.861935
346.555785,230,3179.955662
252.693233,281,3182.581469
236.15856,246,3185.707857
310.783813,345,3189.915426
149.183574,124,3192.407576
60.517053,70,3193.31576
36.413731,73,3193.96698
422.160586,487,3199.618636
142.451112,174,3201.280745
67.903222,78,3207.476243
69.227836,82,3208.574188
192.479786,138,3210.457781
339.250895,359,3213.46693
266.059803,302,3217.473063
315.880107,197,3225.263393
229.248328,253,3227.725072
275.590128,288,3231.301945
121.8786,175,3232.677891
154.489867,123,3238.818656
232.075873,207,3241.556118
244.503213,295,3244.718776
513.236736,543,3251.354946
172.100259,144,3254.369842
283.880574,164,3256.384417
278.234765,297,3260.475185
382.541769,425,3265.238508
201.545361,281,3273.200887
69.41962,85,3274.098449
79.057707,81,3275.178122
383.317879,386,3280.146436
167.615007,245,3283.723259
136.420013,179,3285.373762
473.078028,346,3292.70304
247.056828,271,3296.980023
309.209289,302,3301.665154
359.304304,327,3304.828356
247.837009,149,3308.406435
261.011923,202,3311.829645
402.452067,447,3316.603012
289.946774,259,3320.470027
313.534744,187,3325.331149
230.257957,263,3329.969924
391.151268,377,3333.910499
217.93596,163,3343.469419
78.286649,96,3344.880461
432.455518,461,3351.112414
451.620356,473,3356.451317
339.790224,223,3360.610098
352.955361,219,3363.241124
460.329248,452,3368.467662
410.889304,393,3373.80838
276.708368,524,3381.98039
401.61461,480,3387.529805
377.104726,458,3393.381626
134.31951,104,3397.868201
183.593446,181,3400.373464
413.801056,450,3406.161394
185.54216,212,3408.144899
137.341883,123,3414.930579
473.058379,252,3418.553216
417.806895,470,3424.650368
455.917356,382,3429.070617
214.976796,232,3433.820101
162.540038,139,3435.598178
330.989619,359,3440.008373
52.145775,96,3440.810926
67.19254,98,3441.790769
